"RAL 5019",0,94,131,#005E83,"Capri blue"
"RAL 5020",0,65,75,#00414B,"Ocean blue"
"RAL 5021",0,117,119,#007577,"Water blue"
"RAL 5022",34,45,90,#222D5A,"Night blue"
"RAL 5023",65,105,140,#41698C,"Distant blue"
"RAL 5024",96,147,172,#6093AC,"Pastel blue"
"RAL 5025",32,105,124,#20697C,"Pearl gentian blue"
"RAL 5026",15,48,82,#0F3052,"Pearl night blue"
"RAL 6000",60,116,96,#3C7460,"Patina green"
"RAL 6001",54,103,53,#366735,"Emerald green"
"RAL 6002",50,89,40,#325928,"Leaf green"
"RAL 6003",80,83,60,#50533C,"Olive green"
"RAL 6004",2,68,66,#024442,"Blue green"
"RAL 6005",17,66,50,#114232,"Moss green"
"RAL 6006",60,57,46,#3C392E,"Grey olive"
"RAL 6007",44,50,34,#2C3222,"Bottle green"
"RAL 6008",54,52,42,#36342A,"Brown green"
"RAL 6009",39,53,42,#27352A,"Fir green"
"RAL 6010",77,111,57,#4D6F39,"Grass green"
"RAL 6011",107,124,89,#6B7C59,"Reseda green"
"RAL 6012",47,61,58,#2F3D3A,"Black green"
"RAL 6013",124,118,90,#7C765A,"Reed green"
"RAL 6014",71,65,53,#474135,"Yellow olive"
"RAL 6015",61,61,54,#3D3D36,"Black olive"
"RAL 6016",0,105,76,#00694C,"Turquoise green"
"RAL 6017",88,127,64,#587F40,"May green"
"RAL 6018",96,153,59,#60993B,"Yellow green"
"RAL 6019",185,206,172,#B9CEAC,"Pastel green"
"RAL 6020",55,66,47,#37422F,"Chrome green"
"RAL 6021",138,153,119,#8A9977,"Pale green"
"RAL 6022",58,51,39,#3A3327,"Olive drab"
"RAL 6024",0,131,81,#008351,"Traffic green"
"RAL 6025",94,110,59,#5E6E3B,"Fern green"
"RAL 6026",0,95,78,#005F4E,"Opal green"
"RAL 6027",126,186,181,#7EBAB5,"Light green"
"RAL 6028",49,84,66,#315442,"Pine green"
"RAL 6029",0,111,61,#006F3D,"Mint green"
"RAL 6032",35,127,82,#237F52,"Signal green"
"RAL 6033",69,135,127,#45877F,"Mint turquoise"
"RAL 6034",122,173,172,#7AADAC,"Pastel turquoise"
"RAL 6035",25,77,37,#194D25,"Pearl green"
"RAL 6036",4,87,75,#04574B,"Pearl opal green"
"RAL 6037",0,139,41,#008B29,"Pure green"
"RAL 6038",0,181,27,#00B51B,"Luminous green"
"RAL 6039",179,196,62,#B3C43E,"Fibrous green"
"RAL 7000",122,136,142,#7A888E,"Squirrel grey"
"RAL 7001",140,151,156,#8C979C,"Silver grey"
"RAL 7002",129,120,99,#817863,"Olive grey"
"RAL 7003",121,118,105,#797669,"Moss grey"
"RAL 7004",154,155,155,#9A9B9B,"Signal grey"
"RAL 7005",107,110,107,#6B6E6B,"Mouse grey"
"RAL 7006",118,106,94,#766A5E,"Beige grey"
"RAL 7008",116,95,61,#745F3D,"Khaki grey"
"RAL 7009",93,96,88,#5D6058,"Green grey"
"RAL 7010",88,92,86,#585C56,"Tarpaulin grey"
"RAL 7011",82,89,93,#52595D,"Iron grey"
"RAL 7012",87,93,94,#575D5E,"Basalt grey"
"RAL 7013",87,80,68,#575044,"Brown grey"
"RAL 7015",79,83,88,#4F5358,"Slate grey"
"RAL 7016",56,62,66,#383E42,"Anthracite grey"
"RAL 7021",47,50,52,#2F3234,"Black grey"
"RAL 7022",76,74,68,#4C4A44,"Umbra grey"
"RAL 7023",128,128,118,#808076,"Concrete grey"
"RAL 7024",69,73,78,#45494E,"Graphite grey"
"RAL 7026",55,67,69,#374345,"Granite grey"
"RAL 7030",146,142,133,#928E85,"Stone grey"
"RAL 7031",91,104,109,#5B686D,"Blue grey"
"RAL 7032",181,176,161,#B5B0A1,"Pebble grey"
"RAL 7033",127,130,116,#7F8274,"Cement grey"
"RAL 7034",146,136,111,#92886F,"Yellow grey"
"RAL 7035",197,199,196,#C5C7C4,"Light grey"
"RAL 7036",151,147,146,#979392,"Platinum grey"
"RAL 7037",122,123,122,#7A7B7A,"Dusty grey"
"RAL 7038",176,176,169,#B0B0A9,"Agate grey"
"RAL 7039",107,102,94,#6B665E,"Quartz grey"
"RAL 7040",152,158,161,#989EA1,"Window grey"
"RAL 7042",142,146,145,#8E9291,"Traffic grey A"
"RAL 7043",79,82,80,#4F5250,"Traffic grey B"
"RAL 7044",183,179,168,#B7B3A8,"Silk grey"
"RAL 7045",141,146,149,#8D9295,"Telegrey 1"
"RAL 7046",126,134,138,#7E868A,"Telegrey 2"
"RAL 7047",200,200,199,#C8C8C7,"Telegrey 4"
"RAL 7048",129,123,115,#817B73,"Pearl mouse grey"
"RAL 8000",137,105,63,#89693F,"Green brown"
"RAL 8001",157,98,43,#9D622B,"Ochre brown"
"RAL 8002",121,77,62,#794D3E,"Signal brown"
"RAL 8003",126,75,39,#7E4B27,"Clay brown"
"RAL 8004",141,73,49,#8D4931,"Copper brown"
"RAL 8007",112,70,43,#70462B,"Fawn brown"
"RAL 8008",114,74,37,#724A25,"Olive brown"
"RAL 8011",90,56,39,#5A3827,"Nut brown"
"RAL 8012",102,51,43,#66332B,"Red brown"
"RAL 8014",74,53,38,#4A3526,"Sepia brown"
"RAL 8015",94,47,38,#5E2F26,"Chestnut brown"
"RAL 8016",76,43,32,#4C2B20,"Mahogany brown"
"RAL 8017",68,47,41,#442F29,"Chocolate brown"
"RAL 8019",61,54,53,#3D3635,"Grey brown"
"RAL 8022",26,23,25,#1A1719,"Black brown"
"RAL 8023",164,87,41,#A45729,"Orange brown"
"RAL 8024",121,80,56,#795038,"Beige brown"
"RAL 8025",117,88,71,#755847,"Pale brown"
